nome_file;perimetro_px;perimetro_mm;area_pixel;area_mm
A_R1 2021-09-03 20-09-04;99;99;1670;1670

nome_file;perimetro_px;perimetro_mm;area_pixel;area_mm
A_R1 2021-09-05 23-50-38;1742;1742;38351;38351

nome_file;perimetro_px;perimetro_mm;area_pixel;area_mm
A_R1 2021-09-07 03-48-45;6881;6881;138137;138137

nome_file;perimetro_px;perimetro_mm;area_pixel;area_mm
A_R1 2021-09-07 23-38-10;10823;10823;209576;209576

nome_file;perimetro_px;perimetro_mm;area_pixel;area_mm
A_R1 2021-09-08 22-41-44;12248;12248;235169;235169

