soggetto;data_ora_scatto;perimetro_px;perimetro_mm;area_pixel;area_mm;lato_pixel
A_R1;2021-09-03 20-09-04;99;8.602;1670;2.521;57.547
A_R1;2021-09-05 23-50-38;1742;153.941;38351;59.899;56.58
A_R1;2021-09-07 03-48-45;6881;612.876;138137;219.17;56.137
A_R1;2021-09-07 23-38-10;10823;960.388;209576;330.043;56.347
A_R1;2021-09-08 22-41-44;12248;1096.764;235169;377.143;55.837
A_R1;2021-09-10 11-33-32;10331;877.338;197979;285.56;58.877
A_R2;2021-09-01 22-48-01;62;5.523;1063;1.687;56.129
A_R2;2021-09-03 04-49-58;403;35.652;9456;14.801;56.518
A_R2;2021-09-03 20-19-28;927;83.088;18471;29.678;55.784
A_R2;2021-09-06 00-48-40;4807;426.092;86429;135.815;56.408
A_R2;2021-09-07 04-00-57;10461;931.556;186030;295.042;56.148
A_R2;2021-09-07 23-25-42;13571;1253.371;232507;396.645;54.138
A_R2;2021-09-08 22-55-56;21221;1917.017;330778;539.867;55.349
A_R2;2021-09-10 11-20-58;25490;2214.288;384312;580.019;57.558
A_R3;2021-09-01 22-43-26;62;5.494;1123;1.764;56.423
A_R3;2021-09-03 04-58-03;394;34.218;9700;14.633;57.572
A_R3;2021-09-03 20-25-25;624;54.816;15940;24.601;56.918
A_R3;2021-09-06 01-00-31;6989;616.814;121190;188.789;56.654
A_R3;2021-09-07 04-07-37;12657;1106.594;223993;342.436;57.189
A_R3;2021-09-07 23-19-21;17026;0;267047;0;0
A_R3;2021-09-08 23-00-22;22942;2024.639;345607;538.326;56.657
A_R3;2021-09-10 11-15-18;28336;2429.605;408539;600.7;58.314
A_R4;2021-09-02 22-05-39;344;29.947;7240;10.974;57.435
A_R4;2021-09-03 19-25-01;733;65.435;16750;26.696;56.01
A_R4;2021-09-05 22-13-51;5062;437.473;89432;133.592;57.855
A_R4;2021-09-07 02-45-27;13343;1167.714;229948;352.229;57.133
A_R4;2021-09-07 20-40-30;18226;0;284892;0;0
A_R4;2021-09-08 21-24-19;17493;1572.207;279533;451.6;55.632
A_R4;2021-09-10 09-55-27;21774;1842.288;317974;455.261;59.095
A_R5;2021-09-02 22-22-28;389;33.803;5931;8.957;57.54
A_R5;2021-09-03 19-30-56;757;66.377;13614;20.934;57.023
